Recipient Org:Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360g-cabinetoffice-artlink_centre_for_community_arts,1091217,187248,,,,,,,,,1,,,,,,,,,1,1,1,1,,1,1,,,,,,1,1,,,
360g-cabinetoffice-artworks_creative_communities,1095583,294375,1,1,1,1,1,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,1,,1
360g-cabinetoffice-arun_and_chichester_citizens_advice_bureau,1099640,855779,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,1,,,
360g-cabinetoffice-arun_counselling_centre,293053,23808,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-asaworta_community_support_association,1166284,11538,1,1,,,1,,,,,,,,1,,,1,1,1,,1,1,,,,,,,1,1,1,1,,,
360g-cabinetoffice-ashfield_home_safety_project,1062718,6383,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,,,
360g-cabinetoffice-ashfield_play_forum,1037959,77618,,1,,,,,,,1,1,,1,1,,,,,1,,,,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-ashfield_voluntary_action,1089635,113780,1,1,1,1,1,,,,1,1,1,1,1,,,,,1,1,1,1,1,1,,,1,,,,1,1,1,1,1
360g-cabinetoffice-ashiana_community_project,1060789,595080,1,1,,,1,,,,,,,1,1,,,,,1,1,1,,1,1,,,,,1,1,1,1,,1,
360g-cabinetoffice-ashmore_park_community_association,1061701,35228,1,1,1,1,,,,,1,1,,,,,,,1,1,1,1,1,1,,1,,,,1,1,,1,,1,1
360g-cabinetoffice-ashton_central_mosque,1121224,136459,1,1,,,,,,1,,,,,,,,,,1,1,,1,,,,,,,,1,1,1,,,
360g-cabinetoffice-asian_rationalist_society,1087925,1408,1,,1,,1,,,,,1,,,,,,,,,,,1,1,,1,,,,,,1,1,,,
360g-cabinetoffice-aspley_community_and_training_centre,1117746,,1,1,,,1,,,,1,1,,,1,,,,1,1,1,1,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-aspley_community_toy_library,1050171,,1,,,,,,,,1,,,,,,,,,1,,1,1,,,1,,1,,1,,,,,,
360g-cabinetoffice-aspley_toy_library,1050171,,1,,,,,,,,1,,,,,,,,,1,,1,1,,,1,,1,,1,,,,,,
360g-cabinetoffice-attic_theatre_company,1041549,110734,,1,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,,,1,,,,1
360g-cabinetoffice-attik_dance,1096678,103533,1,1,1,1,,,,,1,1,,,1,,,1,,1,1,1,,,,1,,,,,,1,1,,1,
360g-cabinetoffice-attock_community_association,1092763,43174,1,1,1,,,,,1,1,1,,,1,,,,,1,1,1,1,,,1,,,,,1,1,1,,,
360g-cabinetoffice-attock_community_sports_and_cricket_club,1140524,42451,,,,,,,,,,1,,,,,,1,,1,,,1,,,1,,,,,1,1,,,,1
360g-cabinetoffice-avon_wildlife_trust,280422,2258296,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,,,
360g-cabinetoffice-avonmouth_sea_cadet_unit,301675,28713,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-awakenings,1069254,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-baba_sang_gurdwara,1117537,328997,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,
360g-cabinetoffice-baby_bereavement_support_group,1105089,20098,1,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-back_on_the_map,1138833,559098,,1,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,1,1,1,,,
360g-cabinetoffice-back_to_earth_projects_limited,1120344,136187,,1,,,,,,,,,,1,1,,,,,1,1,1,,,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-baked,1163851,0,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1
360g-cabinetoffice-balmoral_centre,1139045,24279,1,,,,1,,,,1,1,,,,,1,1,,,,,,,,1,,,,,1,1,,,,
360g-cabinetoffice-balmoral_community_centre,1139045,24279,1,,,,1,,,,1,1,,,,,1,1,,,,,,,,1,,,,,1,1,,,,
360g-cabinetoffice-balsall_heath_church_centre,1160049,206377,1,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,
