Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360G-blf-A4E_3_010111214,1040395,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_3_010110800,1140935,31262000,1,1,1,1,1,,1,,,,,1,1,,,,,1,1,1,,1,1,,1,1,1,1,1,1,1,,,
360G-blf-A4E_3_010109736,1096925,11928,1,1,,,,,,,1,1,,,1,,,1,,1,1,1,,,,1,,,,,1,,,,,
360G-blf-A4E_3_010108093,503432,5930,1,,,,,,,,1,1,,1,,,,,,,1,1,,1,,1,,,,,1,,,,,
360G-blf-A4E_3_010110757,1066922,7307,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-A4E_3_010110152,1000402,220104,,1,,1,,,,,,1,,1,,,,1,,1,1,1,,1,,1,,,,,1,1,,,,
360G-blf-A4E_3_010110573,516606,36180,1,1,,1,,,,,1,1,1,1,,,,,,1,1,1,,,,1,,,,,1,1,1,,,
360G-blf-A4E_3_010108238,1055717,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,1,,1,
360G-blf-A4E_3_010110258,1076389,30519,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
360G-blf-A4E_3_010108800,1040433,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
360G-blf-A4E_3_010110179,1091686,,,,,1,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,1,,,
360G-blf-0030033748,1044133,891264,1,1,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,1,,1,,,,
360G-blf-A4E_3_010108662,523159,13636,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-A4E_3_010108743,1106567,,,1,,,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,,,
360G-blf-A4E_3_010108432,305969,3013658,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,
360G-blf-A4E_3_010108060,1114338,17457,,,1,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,1,1,1,,,
360G-blf-A4E_3_010108367,516348,1967,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,,,,
360G-blf-A4E_3_010110068,1055640,621269,,1,1,1,,,,,,1,,,1,,,,,1,1,1,,,,1,,,,1,1,1,1,,,
360G-blf-A4E_3_010110195,1097278,24910,1,1,1,,,,,,1,1,,,,,,,,1,,,,1,,1,1,1,,,,,1,,,1
360G-blf-A4E_3_010108462,1036613,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
360G-blf-0030034323,292084,0,1,1,1,,,,,,1,1,,,,,,,,1,1,,1,,,1,1,1,,,,1,1,,,
360G-blf-A4E_3_010108078,1066687,298049,,1,,,,,,,1,,,,,,,1,,1,,1,,,,1,,,,,1,1,,,,
360G-blf-A4E_3_010110285,256391,,1,1,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,1,,,,,,
360G-blf-A4E_3_010108393,522959,11503,1,1,1,,,,,1,1,1,,1,1,,,1,1,1,1,1,,1,,1,,,,,1,,,,,
360G-blf-A4E_3_010110637,1095395,,,1,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,
360G-blf-A4E_3_010108684,1019666,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_3_010110136,1068317,,1,,1,1,1,,1,,,,,,,,,,,1,,1,1,,,,,,,1,,1,1,,,
360G-blf-A4E_3_010108763,1099939,386127,1,1,,1,1,,,,1,1,,,1,,,,,1,1,1,,1,,1,,,,1,1,1,1,,1,
360G-blf-A4E_3_010110581,508669,499733,1,1,1,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,1,1,,,
360G-blf-A4E_3_010110954,255465,448837,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,1,1,,,
360G-blf-A4E_3_010112084,307021,6963445,,1,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,1
360G-blf-A4E_3_010110702,276624,2775,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,1,,1,1,,,
360G-blf-A4E_3_010109602,1030142,2600,,1,,,,,,,1,1,,1,1,,,,,,,,,,1,,,,,1,,,1,,,
360G-blf-A4E_3_010111801,1098633,1105,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1
360G-blf-A4E_3_010110789,1088824,41923,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_2_010102026,1027501,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_3_010108280,303387,35848,,1,,,,,,,,1,,,,,,,,1,,1,,,,,,,,1,1,,,,1,
360G-blf-A4E_3_010109769,300112,20727,,1,,,,,,,,1,,,,,,,1,1,1,,,,,1,,,,,1,,,,,
360G-blf-A4E_3_010111258,282800,10089,1,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,1,,,
360G-blf-A4E_3_010108016,1019862,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
360G-blf-A4E_3_010109953,1085900,4261391,1,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,1,1,,1,
360G-blf-A4E_3_010109078,1042353,146836,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_3_010108773,1160319,35955,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,
360G-blf-A4E_3_010108337,305214,10666,,,,,,,,,1,1,1,,,,,,,1,1,1,,1,1,1,,,,1,,,,,,
360G-blf-A4E_3_010109799,228103,8939,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-A4E_3_010108385,279420,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,
360G-blf-A4E_3_010108246,274029,152719,1,1,,,,,,,,,,,1,,,,1,1,1,1,1,1,,1,,,,,,1,,,,1
360G-blf-A4E_3_010109386,1104603,135,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,1
360G-blf-A4E_3_010110512,1062864,49095,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_3_010108072,1051589,139037,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,
360G-blf-A4E_3_010108509,298425,8683,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,
360G-blf-A4E_3_010108348,1064935,,,1,1,1,,,,,,1,,,1,,,,,,,1,,,,,,,,1,1,1,1,,,
360G-blf-A4E_2_010103481,1066553,6446,,,,,,,,,1,,,,1,,1,,,,,,1,,,1,,,,,,,1,,,
360G-blf-A4E_2_010102866,1070222,0,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,1,,1,
360G-blf-A4E_3_010111087,1015728,645253,1,,1,1,1,,,,,,,,,,,,,1,1,1,,,,1,,,,,,1,1,,,
360G-blf-A4E_3_010108510,278140,5250000,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,,
360G-blf-A4E_3_010109108,1094345,6922,,1,,,,,,,1,,,,,,,,,,1,,,1,,1,,,,,,1,,,,
360G-blf-A4E_2_010104989,802343,9143,,1,,1,,,,,1,,,,,,,,,,1,1,,,1,,,,,1,,1,,,,
360G-blf-A4E_3_010110715,1075582,7432,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,1,
360G-blf-A4E_3_010108855,800495,18627,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1
360G-blf-A4E_3_010108425,1101279,13450,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,1,
360G-blf-A4E_3_010108171,1038252,79075,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
360G-blf-A4E_3_010111116,900308,2861212,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,
360G-blf-A4E_3_010108809,293705,9627385,,1,,,,,,,,,,1,1,,,,,1,1,1,,,,1,,1,,,1,1,1,,1,
360G-blf-A4E_2_010107012,1087866,12874,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,
360G-blf-A4E_2_010101735,294345,7826,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,
360G-blf-A4E_3_010108613,1092079,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,1,,1,
360G-blf-A4E_3_010112422,1079441,46242,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_2_010105916,1094134,249008,,1,,1,,,,,1,,,,,,,,,1,1,1,,,,1,,,,1,1,1,,,,
360G-blf-A4E_3_010110697,285027,13919,1,1,,,,,,,1,1,1,,,,,1,1,1,1,,,,1,1,,,,,1,,1,,,
360G-blf-A4E_2_010105810,1077942,,,,1,1,,,,,,1,,,,,,,,,1,1,,,,1,,,,1,,1,1,,,
360G-blf-A4E_3_010109279,1087197,66250,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,
